month_end,active_clients,overdue_active,total_debt_active,avg_debt_overdue_active,overdue_rate_active
2022-06-30,11068,3089,12973521.350000001,4199.909792813209,0.27909288037585833
2022-07-31,18237,7210,23196339.83,3217.2454687933423,0.39535011240883916
2022-08-31,23640,10392,37849692.22,3642.1951712856044,0.43959390862944164
2022-09-30,15462,9116,42082775.269999996,4616.364114743308,0.5895744405639632
2022-10-31,12086,8140,46109774.230000004,5664.5914287469295,0.6735065364884991
2022-11-30,9785,7197,50135429.550000004,6966.156669445603,0.7355135411343894
2022-12-31,9276,6939,50781998.739999995,7318.345401354662,0.7480595084087969
